HDI rank,Country,Human Development Group,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita (2011 PPP $),GNI per capita rank minus HDI rank,HDI Growth - 1990-2000,HDI Growth 2000-2010,HDI Growth 2010-2017,HDI Growth1990-2017,Gender Development Index,HDI - F,HDI - M,Life expect - F,Life expect - M,Expected years of schooling - F,Expected years of schooling - M,Adolescent birth rate ,Share of seats in parliament - % by women
1,Norway,Very High,0.95252202,82.328,17.85206,12.56682,68012.49292,5,0.757228229,0.268551911,0.165216111,0.422416878,0.991414552,0.94528004,0.953465973,84.214,80.453,18.5531,17.1909,5.592,41.42011834
2,Switzerland,Very High,0.94399757,83.473,16.20882,13.408,57625.06971,8,0.66551707,0.473307377,0.183108619,0.469082656,0.986702728,0.936626046,0.949248462,85.344,81.508,16.1286,16.2877,2.989,29.26829268
3,Australia,Very High,0.938631285,83.068,22.92125,12.85504,43560.05774,18,0.362994916,0.272678288,0.23973125,0.297573697,0.974695452,0.925652545,0.949683866,84.977,81.178,23.3266,22.5204,12.902,32.74336283
4,Ireland,Very High,0.938410059,81.643,19.61374,12.52629,53754.18626,8,1.158989765,0.600099417,0.448591237,0.767352344,0.979486873,0.926267373,0.945665939,83.605,79.683,19.7153,19.5196,9.662,24.31192661
5,Germany,Very High,0.93604342,81.178,16.95598,14.08202,46135.84754,13,0.810623497,0.586663319,0.236106377,0.578475784,0.966748216,0.919064864,0.950676555,83.498,78.854,16.8776,17.0334,6.535,31.49100257
6,Iceland,Very High,0.934879252,82.912,19.34788,12.36378,45810.19585,13,0.707147897,0.359361415,0.681429357,0.571537922,0.965665316,0.919615409,0.952312768,84.353,81.468,20.4952,18.2357,6.805,38.0952381
7,"Hong Kong, China (SAR)",Very High,0.932582914,84.097,16.32567,12.03813,58419.70992,2,0.575803771,0.866150273,0.489203226,0.660758787,0.965435699,0.91591449,0.948705844,87.084,81.169,16.3225,16.3561,2.705,
7,Sweden,Very High,0.932804549,82.625,17.63459695,12.42605,47765.65603,9,0.955553354,0.090360519,0.42676587,0.497320332,0.991893221,0.926715018,0.934289093,84.318,80.919,18.354,16.9152,5.239,43.5530086
9,Singapore,Very High,0.932041606,83.218,16.2,11.47467,82503.12701,-6,1.32636523,1.047707963,0.356912379,0.971091242,0.982014655,0.922436998,0.939331193,85.193,81.145,16.4,16,3.678,23
10,Netherlands,Very High,0.930638593,82.005,18.04483,12.19001,47899.76157,5,0.545071982,0.388992901,0.317444594,0.428206559,0.966478777,0.91279557,0.944454851,83.724,80.253,18.3201,17.7783,3.993,35.55555556
11,Denmark,Very High,0.929474111,80.878,19.06606,12.58779,47918.49167,3,0.770532395,0.532829775,0.301928998,0.560835751,0.979697499,0.919031502,0.938076807,82.768,78.963,19.7795,18.375,4.123,37.4301676
12,Canada,Very High,0.925952399,82.541,16.43739864,13.28189,43433.16672,10,0.21050443,0.387185484,0.38144982,0.320225679,0.985568208,0.916120367,0.929535226,84.382,80.65,16.8726,16.0238,9.402,30.11494253
13,United States,Very High,0.923913589,79.541,16.46821,13.37999,54941.10929,-2,0.28259036,0.324572691,0.15859167,0.265969795,0.992061214,0.919102355,0.926457302,81.817,77.251,17.2351,15.7203,18.789,19.66292135
14,United Kingdom,Very High,0.921548922,81.717,17.4429,12.88865,39116.31163,13,1.125683186,0.433727461,0.253794093,0.64265433,0.960306854,0.903468358,0.940812152,83.438,79.942,17.9076,16.9822,12.498,28.52233677
15,Finland,Very High,0.919652775,81.496,17.6396565,12.43961,41002.27094,10,0.898767863,0.523208478,0.254014283,0.592184308,1.000334249,0.917415725,0.917109183,84.288,78.712,18.3758,16.9373,6.769,42
16,New Zealand,Very High,0.916687629,82.038,18.86506,12.503,33969.73999,18,0.607897506,0.346061137,0.275361457,0.424605985,0.96571061,0.899614878,0.931557414,83.678,80.369,19.7312,17.9815,20.022,38.33333333
17,Belgium,Very High,0.916066037,81.303,19.7624,11.78389,42156.37247,6,0.797026363,0.334545139,0.209018242,0.472971938,0.970856391,0.901293263,0.928348695,83.616,78.922,20.7632,18.7788,4.878,41.42857143
17,Liechtenstein,Very High,0.916082868,80.41,14.72093,12.54846,97335.74963,-15,,0.475955481,0.186761763,,,,,,,13.4115,16.0522,,12
19,Japan,Very High,0.909152957,83.908,15.23277,12.75,38986.15453,9,0.475148055,0.338882452,0.388572984,0.402216477,0.975119353,0.894437396,0.917259403,87.092,80.659,15.1677,15.2946,4.078,13.71994342
20,Austria,Very High,0.907755179,81.77,16.0812,12.1487132,45415.10118,0,0.531817562,0.655474058,0.204129894,0.492500988,0.970846795,0.893305008,0.920129739,84.11,79.361,16.3834,15.7938,6.894,33.60655738
21,Luxembourg,Very High,0.903938861,81.955,14.01601,12.08015,65016.32689,-13,0.891938295,0.391220069,0.235238487,0.535843265,0.969375323,0.887506893,0.915545168,84.103,79.784,14.1431,13.8973,5.197,28.33333333
22,Israel,Very High,0.903244841,82.664,15.91014,12.95922,32711.3766,13,0.745815648,0.388026699,0.263524112,0.488056862,0.974540218,0.889563473,0.912803244,84.258,80.934,16.514,15.3353,9.216,27.5
22,Korea (Republic of),Very High,0.902561126,82.361,16.49749,12.11633,35944.70949,8,1.166646475,0.787115642,0.296981473,0.800037638,0.932012704,0.865973996,0.929143983,85.304,79.21,15.869,17.0515,1.643,17
24,France,Very High,0.90080244,82.716,16.41595,11.51082,39253.94701,2,0.858510728,0.378898397,0.309111539,0.538136561,0.987201296,0.894427602,0.906023529,85.61,79.801,16.8108,16.0365,8.643,35.35135135
25,Slovenia,Very High,0.896223829,81.116,17.21387,12.22188,30593.9569,12,0.727817968,0.675456153,0.229672385,0.579060352,1.002567467,0.897611527,0.895312841,83.894,78.302,17.963,16.5102,4.176,28.68217054
26,Spain,Very High,0.891020216,83.301,17.87704,9.81948,34258.29329,7,0.901135698,0.473500151,0.426188389,0.61938449,0.978867159,0.879105377,0.898084453,85.982,80.535,18.2316,17.5332,8.598,38.63636364
27,Czechia,Very High,0.887561429,78.877,16.85478,12.74035,30588.30081,11,0.864042786,0.796919204,0.421729057,0.724344651,0.985537872,0.880715431,0.893639357,81.741,75.972,17.6353,16.1122,9.995,21.07142857
28,Italy,Very High,0.879769445,83.169,16.27219,10.1604,35299.24086,3,0.764975937,0.481559741,0.152414469,0.500908778,0.966900865,0.863085886,0.892631207,85.293,80.932,16.615,15.9445,6.1,30.10526316
29,Malta,Very High,0.878186795,81.012,15.89665,11.28811,34395.64694,3,0.558129207,0.741074447,0.594049128,0.635165545,0.960499482,0.858087816,0.893376657,82.596,79.383,16.4388,15.4027,16.624,11.94029851
30,Estonia,Very High,0.871042039,77.709,16.08842,12.66743,28993.24772,10,0.632494168,0.794281727,0.441654001,0.642843848,1.018956234,0.876272901,0.859971088,81.992,73.02,16.8948,15.3188,12.625,26.73267327
31,Greece,Very High,0.869934067,81.41,17.25405,10.75089,24648.09694,20,0.559967621,0.722648012,0.235550361,0.535929665,0.963745461,0.852925884,0.88501157,83.931,78.903,17.0198,17.4787,7.223,18.33333333
32,Cyprus,Very High,0.868784385,80.67,14.57015,12.10394,31567.6881,4,0.911113485,0.585573387,0.314036421,0.635467808,0.983604509,0.860922309,0.875272837,82.795,78.539,14.9571,14.197,4.582,17.85714286
33,Poland,Very High,0.865075041,77.77,16.4332,12.29398,26150.40263,12,0.979421101,0.620914629,0.503959985,0.723171535,1.006231068,0.866314535,0.860949898,81.609,73.856,17.2645,15.6379,12.706,25.53571429
34,United Arab Emirates,Very High,0.86275666,77.412,13.64343,10.78,67804.55851,-27,0.942295739,0.465552034,0.451480684,0.638205954,0.968173096,0.831942062,0.859290622,78.924,76.717,14.3053,13.4054,28.379,22.5
35,Andorra,Very High,0.857683594,81.663,13.52401627,10.15545,47573.87008,-18,,0.877716931,0.505745387,,,,,,,,,,32.14285714
35,Lithuania,Very High,0.858135145,74.768,16.10477,12.96103,28313.59678,7,0.327450065,0.866576495,0.581606081,0.592751075,1.025763989,0.868245197,0.846437588,79.954,69.399,16.5663,15.6606,10.683,21.27659574
37,Qatar,Very High,0.855616448,78.331,13.36037,9.80616,116817.9779,-36,0.716416696,0.186917048,0.51999403,0.469118379,1.031190469,0.869749524,0.843442167,80.034,77.568,14.7633,11.9575,9.922,9.756097561
38,Slovakia,Very High,0.855200237,76.977,14.96488,12.45251025,29467.32283,1,0.328928575,0.827422595,0.443381204,0.542982846,0.990568555,0.84951182,0.857600229,80.401,73.442,15.5159,14.4342,22.027,20
39,Brunei Darussalam,Very High,0.853266972,77.374,14.46502,9.06,76427.21032,-35,0.46474948,0.277530268,0.185345196,0.322905505,0.990493407,0.84623052,0.854352501,79.074,75.782,14.8383,14.1152,10.272,9.090909091
39,Saudi Arabia,Very High,0.853298638,74.72,16.92895,9.50218,49680.22069,-26,0.640209036,0.840730842,0.781342419,0.751027955,0.877092238,0.78215548,0.891759664,76.489,73.424,16.0199,17.8231,7.765,19.86754967
41,Latvia,Very High,0.847143039,74.719,15.75835,12.84377,25002.46509,8,0.328131166,1.153714602,0.53260016,0.686245748,1.029722811,0.858364456,0.833587881,79.383,69.736,16.4618,15.0797,13.463,16
41,Portugal,Very High,0.847113341,81.428,16.29655,9.19096,27315.3583,2,0.984571215,0.462033776,0.436865932,0.648711999,0.983298717,0.839217284,0.853471351,84.227,78.443,16.193,16.4028,9.398,34.7826087
43,Bahrain,Very High,0.846108339,77.038,15.98681,9.41183,41579.92716,-19,0.601923192,0.056184771,0.87274732,0.469454237,0.931148055,0.805141645,0.86467629,78.145,76.189,16.6038,15.5964,13.368,15
44,Chile,Very High,0.842858781,79.732,16.40065,10.34355,21909.50098,13,0.800378087,0.623587766,0.60512949,0.684240564,0.961485776,0.823272243,0.856250048,82.093,77.179,16.6515,16.1591,45.636,15.82278481
45,Hungary,Very High,0.837844634,76.063,15.08309,11.88941,25392.97167,3,0.889294127,0.683727544,0.258627885,0.649347227,0.985146106,0.830312164,0.842831493,79.441,72.483,15.3947,14.7808,19.678,10.05025126
46,Croatia,Very High,0.831102279,77.807,14.96245,11.26731,22162.33726,10,1.135870502,0.752832333,0.401848856,0.80328738,0.991139928,0.82782745,0.835227627,81.028,74.51,15.6877,14.2691,8.925,18.54304636
47,Argentina,Very High,0.82484965,76.738,17.42404,9.94943,18460.73665,19,0.911146775,0.53700795,0.198605567,0.587451399,0.996694808,0.816176203,0.818882768,80.441,72.964,18.6544,16.2272,62.79,38.90577508
48,Oman,Very High,0.820989395,77.258,13.9448688,9.54601,36290.24957,-19,,1.194606211,0.497702042,,0.942073578,0.78052187,0.828514766,79.706,75.553,14.7329,13.4467,7.135,8.823529412
49,Russian Federation,Very High,0.816275487,71.222,15.53573,12.01999,24232.5558,3,-0.184774974,0.799644367,0.655634118,0.396697432,1.019479234,0.82324822,0.807518381,76.751,65.645,15.8606,15.2286,21.553,16.12903226
50,Montenegro,Very High,0.813692302,77.271,14.90172,11.28716,16778.70192,19,,,0.363207536,,0.956064015,0.794489663,0.831000488,79.623,74.889,15.1532,14.6657,11.797,23.45679012
51,Bulgaria,Very High,0.813006249,74.874,14.81046,11.81483,18740.11184,13,0.256269553,0.899019366,0.614037224,0.586697991,0.990106751,0.808053166,0.816127316,78.369,71.485,15.0366,14.5988,39.5,23.75
52,Romania,Very High,0.81119175,75.574,14.26534,10.97836,22645.53847,2,0.111077524,1.181830553,0.247727153,0.541874683,0.984536189,0.804268227,0.816900624,79.042,72.125,14.6182,13.9316,33.063,18.70967742
53,Belarus,Very High,0.807529596,73.07,15.45131,12.2638,16323.46154,18,,1.488307551,0.286305922,,1.019545704,0.814352108,0.798740169,78.467,67.537,15.8512,15.0702,17.16,33.13253012
54,Bahamas,Very High,0.807126296,75.823,12.82263,11.0799,26680.62448,-10,,0.167750769,0.322109449,,,,,78.752,72.742,,,26.748,21.81818182
